subgroup,outcome,definition,premium_unweighted,premium_ipw,ate_unweighted,ate_ipw
Overall,Revenue,OECD (strict GRV),0.022585388193818043,0.01480095593501056,0.05808196627569197,0.08016966868346123
Overall,Revenue,OECD (ICT-incl.),0.025052470215408316,0.03000889565813146,0.05877468157921681,0.08180259000436714
Overall,Revenue,Calvino,0.016715300075391452,0.01734197239173793,0.058830980989286116,0.08138356817063276
Overall,Revenue,Pavitt narrow,0.016581075586044075,0.02133116484133879,0.05804601054466108,0.0799943352381227
Overall,Revenue,Pavitt broad,0.01811921717335034,0.015848969709804192,0.059884995383387575,0.08339337446305238
Overall,Employment,OECD (strict GRV),0.01182081473614146,0.021098987985907085,0.04173159298615755,0.04899459402006494
Overall,Employment,OECD (ICT-incl.),0.01611968041044419,0.02242218803318481,0.04159086126733621,0.0507345248933414
Overall,Employment,Calvino,0.008509829572241896,0.010874847371715006,0.04010320254337252,0.05010931252965647
Overall,Employment,Pavitt narrow,0.012578397540202901,0.009944179944971154,0.041379091954042824,0.05050652762755528
Overall,Employment,Pavitt broad,0.010902569518446412,0.008241883662879729,0.04184862216302372,0.05253148521929133
SME,Revenue,OECD (strict GRV),0.007286111201495693,0.0028609521246329706,0.188321549810137,0.21036766357295644
SME,Revenue,OECD (ICT-incl.),0.005721796176346633,0.0019342457340330854,0.18931410070993188,0.2098011359072156
SME,Revenue,Calvino,0.0056334416486658045,0.0013971420807750434,0.19088903296559043,0.21108875915773886
SME,Revenue,Pavitt narrow,0.004349786061478622,0.0007893912206197451,0.18893230298324618,0.209230311996947
SME,Revenue,Pavitt broad,0.001442856144514837,-0.0039964087986444075,0.18811422220746454,0.2103225234199413
Collaborative,Revenue,OECD (strict GRV),0.007970404991859345,-0.0016072478227005943,0.03522444423876715,0.049479855403118014
Collaborative,Revenue,OECD (ICT-incl.),0.02893981505560792,0.04812584266112507,0.03557826420460511,0.05138290004282896
Collaborative,Revenue,Calvino,0.008833587154584994,0.00022754911005473666,0.03494857139216292,0.05119631141640955
Collaborative,Revenue,Pavitt narrow,0.02263440421666967,0.03205533537832203,0.03571520693900889,0.05102368778387126
Collaborative,Revenue,Pavitt broad,0.012473749707503014,0.0078056205401566894,0.03674986699306592,0.05471891958261055
