subgroup,outcome,definition,n,n_ht,n_non_ht,ate,ate_se,ate_pval,ate_se_boot,premium,premium_se_boot,premium_ci_lo,premium_ci_hi,perm_pval,perm_null_sd,flag_low_power,flag_degenerate
Early-stage,Employment,OECD (strict GRV),182,62,120,0.07714462559740366,0.03366403032207192,0.0219285060797015,,0.0,,,,,,1,1
Early-stage,Employment,Calvino,182,83,99,0.07804693964242161,0.03243638299952278,0.016121457747227567,,0.0,,,,,,1,1
Early-stage,Employment,Pavitt narrow,182,85,97,0.07663296865869529,0.03524213693611062,0.029669857837846206,,0.0,,,,,,1,1
Early-stage,Employment,Pavitt broad,182,118,64,0.07418110215702743,0.034664850862830346,0.032358680521361385,,0.0,,,,,,1,1
Early-stage,Employment,OECD (ICT-inclusive),182,77,105,0.07825386523020227,0.034149898179738285,0.02193557164091131,,0.0,,,,,,1,1
Early-stage,Revenue,OECD (strict GRV),190,67,123,0.1819830030642376,0.09191195982972278,0.04770680201120268,,0.0,,,,,,1,1
Early-stage,Revenue,Calvino,190,86,104,0.17892571246338693,0.09044294420425436,0.04789183659049236,,0.0,,,,,,1,1
Early-stage,Revenue,Pavitt narrow,190,89,101,0.18220684072967439,0.09285275672805429,0.04972521615402659,,0.0,,,,,,1,1
Early-stage,Revenue,Pavitt broad,190,124,66,0.1758782291351493,0.09081858595623787,0.05279566484915676,,0.0,,,,,,1,1
Early-stage,Revenue,OECD (ICT-inclusive),190,81,109,0.18148318520795922,0.09171175661475911,0.04783366384363715,,0.0,,,,,,1,1
SME,Employment,OECD (strict GRV),260,53,207,0.1295379480291714,0.041729525353900565,0.0019077645393119499,,0.0,,,,,,1,1
SME,Employment,Calvino,260,106,154,0.127422424020983,0.04201304042963207,0.0024219533936219043,,0.0,,,,,,1,1
SME,Employment,Pavitt narrow,260,100,160,0.12946357856016175,0.04170978482115663,0.001909789350962743,,0.0,,,,,,1,1
SME,Employment,Pavitt broad,260,178,82,0.12926901282431527,0.041741768088672776,0.001955727216852881,,0.0,,,,,,1,1
SME,Employment,OECD (ICT-inclusive),260,94,166,0.12960298355313363,0.04173170029094828,0.0018987778109407455,,0.0,,,,,,1,1
SME,Revenue,OECD (strict GRV),273,60,213,0.188321549810137,0.05357758909455746,0.0004398676109101034,0.061549244971684014,0.007286111201495776,0.008780321670807495,-0.014116991685186332,0.02206084965259549,0.004975124378109453,0.0022471778505923318,1,0
SME,Revenue,Calvino,273,113,160,0.1908890329655905,0.053013480967606774,0.00031728349768584676,0.061673104597479905,0.0056334416486658045,0.013957118234449523,-0.025008949060771824,0.03212524438580304,0.004975124378109453,0.0019300946483717584,1,0
SME,Revenue,Pavitt narrow,273,107,166,0.18893230298324623,0.0535929045437569,0.0004229666075924232,0.061583437908649,0.004349786061478622,0.009184689343943278,-0.014990372321577235,0.018966598780934707,0.035,0.0018841692352693602,1,0
SME,Revenue,Pavitt broad,273,187,86,0.18811422220746457,0.05353646648823427,0.0004418140443848587,0.06158064605809439,0.0014428561445147814,0.00576991770687001,-0.012048630432821629,0.011447497884849112,0.445,0.001893753271978813,1,0
SME,Revenue,OECD (ICT-inclusive),273,101,172,0.18931410070993188,0.05348740875145856,0.0004010159160182054,0.06161300014689305,0.00572179617634655,0.01232574442211278,-0.02182672536600236,0.02723007689929156,0.01,0.0019365294876056776,1,0
