sector_denomination,isic_rev4,digital_intensity_2001_03,digital_intensity_2013_15
"Agriculture, forestry, fishing",01-03,Low,Low
Mining and quarrying,05-09,Low,Low
"Food products, beverages and tobacco",10-12,Low,Low
"Textiles, wearing apparel, leather",13-15,Medium-low,Medium-low
"Wood and paper products, and printing",16-18,Medium-high,Medium-high
Coke and refined petroleum products,19,Medium-low,Medium-low
Chemicals and chemical products,20,Medium-low,Medium-low
Pharmaceutical products,21,Medium-low,Medium-low
Rubber and plastics products,22-23,Medium-low,Medium-low
Basic metals and fabricated metal products,24-25,Medium-low,Medium-low
"Computer, electronic and optical products",26,High,Medium-high
Electrical equipment,27,Medium-high,Medium-high
Machinery and equipment n.e.c.,28,High,Medium-high
Transport equipment,29-30,High,High
"Furniture; other manufacturing; repairs of computers",31-33,Medium-high,Medium-high
"Electricity, gas, steam and air cond.",35,Low,Low
"Water supply; sewerage, waste management",36-39,Low,Low
Construction,41-43,Low,Low
"Wholesale and retail trade, repair",45-47,Medium-high,Medium-high
Transportation and storage,49-53,Low,Low
Accommodation and food service activities,55-56,Low,Low
"Publishing, audiovisual and broadcasting",58-60,Medium-high,Medium-high
Telecommunications,61,High,High
IT and other information services,62-63,High,High
Finance and insurance,64-66,High,High
Real estate,68,Low,Low
"Legal and accounting activities, etc.",69-71,High,High
Scientific research and development,72,Medium-high,High
"Advertising and market research; other business services",73-75,High,High
Administrative and support service activities,77-82,High,High
Public administration and defence,84,Medium-high,Medium-high
Education,85,Medium-low,Medium-low
Human health activities,86,Medium-high,Medium-low
"Residential care and social work activities",87-88,Medium-low,Medium-low
"Arts, entertainment and recreation",90-93,Medium-low,Medium-high
Other service activities,94-96,Medium-high,High
